run_id,model,method,budget_N,rho,seed,aligned_accuracy,bias_conflict_accuracy,pairwise_flip_rate,counterfactual_consistency,worst_group_accuracy,train_minutes,gpu_minutes,n80_pass,notes
lenet_groupdro_N0_seed3,lenet,groupdro,0,1.0,3,1.0,0.08245555311441422,0.917544424533844,0.0,0.0,2.0631397942701977,2.0631397942701977,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N0_seed4,lenet,groupdro,0,1.0,4,0.9998000264167786,0.05778888985514641,0.9421777725219727,0.0,0.0,1.7139247563978037,1.7139247563978037,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed0,lenet,groupdro,100,0.998,0,0.9979000091552734,0.7295110821723938,0.26954445242881775,0.31470000743865967,0.06879845261573792,2.0371598397692043,2.0371598397692043,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed1,lenet,groupdro,100,0.998,1,0.9976000189781189,0.7641666531562805,0.23499999940395355,0.4311000108718872,0.1119096502661705,2.2461626378198463,2.2461626378198463,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed2,lenet,groupdro,100,0.998,2,0.9958000183105469,0.7860666513442993,0.21168889105319977,0.49810001254081726,0.018480492755770683,1.8477256407340368,1.8477256407340368,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed3,lenet,groupdro,100,0.998,3,0.9980000257492065,0.6835444569587708,0.31601110100746155,0.2752000093460083,0.0664023756980896,1.7807416861255965,1.7807416861255965,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N100_seed4,lenet,groupdro,100,0.998,4,0.9940000176429749,0.7718444466590881,0.22517777979373932,0.42239999771118164,0.05153617262840271,1.7779891503353913,1.7779891503353913,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed0,lenet,groupdro,1000,0.98,0,0.9947999715805054,0.947433352470398,0.0501222237944603,0.864300012588501,0.8057482838630676,1.7535840399563312,1.7535840399563312,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed1,lenet,groupdro,1000,0.98,1,0.995199978351593,0.9549111127853394,0.041822221130132675,0.8845000267028809,0.8334985375404358,1.8935283881922562,1.8935283881922562,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed2,lenet,groupdro,1000,0.98,2,0.9958999752998352,0.956766664981842,0.040422223508358,0.8838000297546387,0.8206144571304321,2.0258890335758526,2.0258890335758526,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed3,lenet,groupdro,1000,0.98,3,0.9930999875068665,0.9339110851287842,0.0617000013589859,0.8374000191688538,0.5410677790641785,2.266471796979507,2.266471796979507,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N1000_seed4,lenet,groupdro,1000,0.98,4,0.9934999942779541,0.9516777992248535,0.04458888992667198,0.8773999810218811,0.803766131401062,1.3402463259796302,1.3402463259796302,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N250_seed0,lenet,groupdro,250,0.995,0,0.9941999912261963,0.8784888982772827,0.1177888885140419,0.6962000131607056,0.47022587060928345,1.88316540569067,1.88316540569067,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N250_seed1,lenet,groupdro,250,0.995,1,0.9958999752998352,0.8790000081062317,0.11868888884782791,0.6830999851226807,0.5123318433761597,2.078462604433298,2.078462604433298,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N250_seed2,lenet,groupdro,250,0.995,2,0.991599977016449,0.9168000221252441,0.079055555164814,0.7940000295639038,0.6940451860427856,1.8231603356699149,1.8231603356699149,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N250_seed3,lenet,groupdro,250,0.995,3,0.9943000078201294,0.9189000129699707,0.07791110873222351,0.7781999707221985,0.7264618277549744,2.185007511576017,2.185007511576017,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N250_seed4,lenet,groupdro,250,0.995,4,0.9955000281333923,0.8676333427429199,0.13014444708824158,0.6711999773979187,0.4667988121509552,1.9835275130967298,1.9835275130967298,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N2500_seed0,lenet,groupdro,2500,0.95,0,0.9921000003814697,0.9752222299575806,0.01886666752398014,0.9505000114440918,0.932170569896698,1.8685769009093443,1.8685769009093443,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N2500_seed1,lenet,groupdro,2500,0.95,1,0.9936000108718872,0.9724222421646118,0.023144444450736046,0.9369999766349792,0.9132652878761292,2.3046327446897825,2.3046327446897825,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N2500_seed2,lenet,groupdro,2500,0.95,2,0.9941999912261963,0.9764444231987,0.01873333379626274,0.9466000199317932,0.8979187607765198,1.745010669529438,1.745010669529438,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N2500_seed3,lenet,groupdro,2500,0.95,3,0.9925000071525574,0.9753666520118713,0.01894444413483143,0.9490000009536743,0.9089147448539734,2.071822269509236,2.071822269509236,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N2500_seed4,lenet,groupdro,2500,0.95,4,0.9927999973297119,0.9763777852058411,0.01876666583120823,0.9477999806404114,0.9028741121292114,1.1273206926882267,1.1273206926882267,True,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N50_seed0,lenet,groupdro,50,0.999,0,0.9983999729156494,0.5409111380577087,0.45865556597709656,0.13109999895095825,0.0,2.0157804811994233,2.0157804811994233,False,source=autodl_rtx4090_cuda12_4
lenet_groupdro_N50_seed1,lenet,groupdro,50,0.999,1,0.9987000226974487,0.5665666460990906,0.43317776918411255,0.16279999911785126,0.0,1.7568767848114173,1.7568767848114173,False,source=autodl_rtx4090_cuda12_4
