run_id,status,model,method,budget_N,seed,data_seed,train_seed,start_time,end_time,device,config_path,checkpoint_path,metrics_path,notes
lenet_erm_N250_seed0,completed,lenet,erm,250,0,0,0,,2026-07-11T23:43:14+02:00,cuda,outputs_final/lenet/erm/N250/seed0/config_resolved.yaml,outputs_final/lenet/erm/N250/seed0/checkpoint.pt,outputs_final/lenet/erm/N250/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N250_seed1,completed,lenet,erm,250,1,1,1,,2026-07-11T23:44:53+02:00,cuda,outputs_final/lenet/erm/N250/seed1/config_resolved.yaml,outputs_final/lenet/erm/N250/seed1/checkpoint.pt,outputs_final/lenet/erm/N250/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N250_seed2,completed,lenet,erm,250,2,2,2,,2026-07-11T23:46:41+02:00,cuda,outputs_final/lenet/erm/N250/seed2/config_resolved.yaml,outputs_final/lenet/erm/N250/seed2/checkpoint.pt,outputs_final/lenet/erm/N250/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N250_seed3,completed,lenet,erm,250,3,3,3,,2026-07-11T23:47:37+02:00,cuda,outputs_final/lenet/erm/N250/seed3/config_resolved.yaml,outputs_final/lenet/erm/N250/seed3/checkpoint.pt,outputs_final/lenet/erm/N250/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N250_seed4,completed,lenet,erm,250,4,4,4,,2026-07-11T23:49:00+02:00,cuda,outputs_final/lenet/erm/N250/seed4/config_resolved.yaml,outputs_final/lenet/erm/N250/seed4/checkpoint.pt,outputs_final/lenet/erm/N250/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N2500_seed0,completed,lenet,erm,2500,0,0,0,,2026-07-12T00:09:38+02:00,cuda,outputs_final/lenet/erm/N2500/seed0/config_resolved.yaml,outputs_final/lenet/erm/N2500/seed0/checkpoint.pt,outputs_final/lenet/erm/N2500/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N2500_seed1,completed,lenet,erm,2500,1,1,1,,2026-07-12T00:11:10+02:00,cuda,outputs_final/lenet/erm/N2500/seed1/config_resolved.yaml,outputs_final/lenet/erm/N2500/seed1/checkpoint.pt,outputs_final/lenet/erm/N2500/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N2500_seed2,completed,lenet,erm,2500,2,2,2,,2026-07-12T00:13:01+02:00,cuda,outputs_final/lenet/erm/N2500/seed2/config_resolved.yaml,outputs_final/lenet/erm/N2500/seed2/checkpoint.pt,outputs_final/lenet/erm/N2500/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N2500_seed3,completed,lenet,erm,2500,3,3,3,,2026-07-12T00:14:19+02:00,cuda,outputs_final/lenet/erm/N2500/seed3/config_resolved.yaml,outputs_final/lenet/erm/N2500/seed3/checkpoint.pt,outputs_final/lenet/erm/N2500/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N2500_seed4,completed,lenet,erm,2500,4,4,4,,2026-07-12T00:15:51+02:00,cuda,outputs_final/lenet/erm/N2500/seed4/config_resolved.yaml,outputs_final/lenet/erm/N2500/seed4/checkpoint.pt,outputs_final/lenet/erm/N2500/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N50_seed0,completed,lenet,erm,50,0,0,0,,2026-07-11T23:26:43+02:00,cuda,outputs_final/lenet/erm/N50/seed0/config_resolved.yaml,outputs_final/lenet/erm/N50/seed0/checkpoint.pt,outputs_final/lenet/erm/N50/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N50_seed1,completed,lenet,erm,50,1,1,1,,2026-07-11T23:28:34+02:00,cuda,outputs_final/lenet/erm/N50/seed1/config_resolved.yaml,outputs_final/lenet/erm/N50/seed1/checkpoint.pt,outputs_final/lenet/erm/N50/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N50_seed2,completed,lenet,erm,50,2,2,2,,2026-07-11T23:29:55+02:00,cuda,outputs_final/lenet/erm/N50/seed2/config_resolved.yaml,outputs_final/lenet/erm/N50/seed2/checkpoint.pt,outputs_final/lenet/erm/N50/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N50_seed3,completed,lenet,erm,50,3,3,3,,2026-07-11T23:31:16+02:00,cuda,outputs_final/lenet/erm/N50/seed3/config_resolved.yaml,outputs_final/lenet/erm/N50/seed3/checkpoint.pt,outputs_final/lenet/erm/N50/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N50_seed4,completed,lenet,erm,50,4,4,4,,2026-07-11T23:33:04+02:00,cuda,outputs_final/lenet/erm/N50/seed4/config_resolved.yaml,outputs_final/lenet/erm/N50/seed4/checkpoint.pt,outputs_final/lenet/erm/N50/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed0,completed,lenet,erm,500,0,0,0,,2026-07-11T23:50:27+02:00,cuda,outputs_final/lenet/erm/N500/seed0/config_resolved.yaml,outputs_final/lenet/erm/N500/seed0/checkpoint.pt,outputs_final/lenet/erm/N500/seed0/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed1,completed,lenet,erm,500,1,1,1,,2026-07-11T23:52:16+02:00,cuda,outputs_final/lenet/erm/N500/seed1/config_resolved.yaml,outputs_final/lenet/erm/N500/seed1/checkpoint.pt,outputs_final/lenet/erm/N500/seed1/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed2,completed,lenet,erm,500,2,2,2,,2026-07-11T23:54:16+02:00,cuda,outputs_final/lenet/erm/N500/seed2/config_resolved.yaml,outputs_final/lenet/erm/N500/seed2/checkpoint.pt,outputs_final/lenet/erm/N500/seed2/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed3,completed,lenet,erm,500,3,3,3,,2026-07-11T23:56:23+02:00,cuda,outputs_final/lenet/erm/N500/seed3/config_resolved.yaml,outputs_final/lenet/erm/N500/seed3/checkpoint.pt,outputs_final/lenet/erm/N500/seed3/metrics.json,source=autodl_rtx4090_cuda12_4
lenet_erm_N500_seed4,completed,lenet,erm,500,4,4,4,,2026-07-11T23:58:13+02:00,cuda,outputs_final/lenet/erm/N500/seed4/config_resolved.yaml,outputs_final/lenet/erm/N500/seed4/checkpoint.pt,outputs_final/lenet/erm/N500/seed4/metrics.json,source=autodl_rtx4090_cuda12_4
